location,date,variant,num_sequences,perc_sequences,num_sequences_total
Angola,2020-07-06,Alpha,0,0.0,3
Angola,2020-07-06,B.1.1.277,0,0.0,3
Angola,2020-07-06,B.1.1.302,0,0.0,3
Angola,2020-07-06,B.1.1.519,0,0.0,3
Angola,2020-07-06,B.1.160,0,0.0,3
Angola,2020-07-06,B.1.177,0,0.0,3
Angola,2020-07-06,B.1.221,0,0.0,3
Angola,2020-07-06,B.1.258,0,0.0,3
Angola,2020-07-06,B.1.367,0,0.0,3
Angola,2020-07-06,B.1.620,0,0.0,3
Angola,2020-07-06,Beta,0,0.0,3
Angola,2020-07-06,Delta,0,0.0,3
Angola,2020-07-06,Epsilon,0,0.0,3
Angola,2020-07-06,Eta,0,0.0,3
Angola,2020-07-06,Gamma,0,0.0,3
Angola,2020-07-06,Iota,0,0.0,3
Angola,2020-07-06,Kappa,0,0.0,3
Angola,2020-07-06,Lambda,0,0.0,3
Angola,2020-07-06,Mu,0,0.0,3
Angola,2020-07-06,Omicron,0,0.0,3
Angola,2020-07-06,S:677H.Robin1,0,0.0,3
Angola,2020-07-06,S:677P.Pelican,0,0.0,3
Angola,2020-07-06,others,3,100.0,3
Angola,2020-07-06,non_who,3,100.0,3
Angola,2020-08-31,Alpha,0,0.0,1
Angola,2020-08-31,B.1.1.277,0,0.0,1
Angola,2020-08-31,B.1.1.302,0,0.0,1
Angola,2020-08-31,B.1.1.519,0,0.0,1
Angola,2020-08-31,B.1.160,0,0.0,1
